UrlHash	Prompt	RefinePrompt
Internal10046_Prompt2	 Top-down flat lay on a neatly made bed: an arrangement of Elegance-brand head pillows in rectangular and square forms, including a box-edge model. Vary heights and materials—one down-filled pillow with airy loft, one latex-core pillow with crisp structure—each in smooth white cases. Subtle tonal variation in textiles, natural morning light, soft shadows for depth. Editorial, calm composition with visual order and affordability conveyed through simplicity. 35mm prime lens from overhead, shallow depth (f/2.8) isolating the front pillow; clean, uncluttered background. Sharp focus on textures, correct proportions, no humans, no extra text, no logos, no watermark, no UI elements. 	 A quiet overhead view of a neatly made bed shows an orderly arrangement of Elegance-brand pillows in rectangular and square shapes, including a box-edge design. The set varies in height and feel: a down-filled pillow with airy loft sits beside a latex-core pillow with a crisp, supportive structure, both in smooth white cases. Natural morning light from a nearby window washes across the linens, creating soft shadows and gentle shifts from bright white to warm ivory. The front pillow appears crisp and tactile, while the pillows behind soften slightly, giving a calm sense of depth. Fine stitching, smooth cotton weave, and the squared edges of the box pillow are easy to see, with proportions that feel natural against the bed. The background stays simple, letting the textures and quiet color of the textiles suggest approachable comfort and understated elegance. 
Internal10045_Prompt1	 Bright morning living room, professional trust vibe. A person in their 40s sits at a tidy table, calmly on a phone call, not looking at camera. Neatly organized pension documents in foreground; softly blurred pile of unsorted mail behind, implying before/after order through lighting and composition. A smartphone is held at a natural slight angle with subtle reflections; screen shows a clean UI: a postcode input field, a “Step 1/4” progress indicator, and a small star rating badge. 50mm prime, f/2.8, shallow depth of field, soft bokeh, accurate perspective, correct anatomy, natural hands and skin. Realistic lighting, sharp focus, uncluttered background. Only minimal English UI text (“Postcode”, “Step 1/4”); no logos, no watermark, no brand names, no extra text, no political content. Screen focus matches hand distance. 	 Bright morning light fills a calm living room. A person in their forties sits at a tidy wooden table, speaking quietly on a phone call and looking slightly off to the side. Neatly arranged pension documents lie in the foreground with crisp paper textures, while a small pile of unsorted mail sits farther back, softly blurred to suggest a shift from clutter to order. The smartphone is held naturally at a slight angle, with faint window reflections on the glass. On the screen, a simple interface shows the word “Postcode,” a “Step 1/4” progress marker, and a small star rating badge. Colors are gentle and natural, with warm wood tones and soft white walls. The morning light creates subtle, even shadows and a comfortable sense of depth, keeping the person’s hands and the phone clear as the room fades into a gentle softness. The scene feels organized and trustworthy without appearing staged. 
Internal10045_Prompt3	 Sunlit kitchen table scene. Two adults (natural body types, casual clothing) review neatly organized pension papers while on a speakerphone consultation; relaxed, reassured expressions, not looking at camera. A tablet lies at a slight angle with subtle reflections, showing a simple UI: postcode input field, “Step 1/4” progress indicator, and a discreet star rating badge. Before/after sensibility through tidy layout, warm light, and ordered folders. 50mm prime, f/2.8, shallow DOF, clean composition, accurate perspective. Correct anatomy, natural hands, realistic skin tones. Only minimal English UI text; no logos, no watermark, no brand names, no extra text. No intrusive devices; environment and outcome are the focal point. 	 Late-morning sunlight warms a tidy kitchen table where two adults in casual clothes review neatly organized pension papers during a speakerphone consultation. They sit close with relaxed shoulders and reassured expressions, focusing on the documents rather than the camera. A tablet rests at a slight angle, its glass catching soft reflections, and shows a simple interface with a postcode input field, a small “Step 1/4” indicator, and a discreet star rating badge. The warm light reveals the wood grain, the textures of the paper and folders, and natural skin tones, while the farther parts of the room fall softly out of focus. Hands are naturally posed over the forms and a pen, and gentle shadows across the table give the scene a grounded sense of depth. The mood feels orderly and optimistic, with the calm environment and the progress on the tablet quietly guiding attention. 
Internal10045_Prompt2	 Extreme close-up of a phone resting on a wooden table under warm office light. The screen, angled naturally with realistic reflections, shows only a postcode input field, a “Step 1/4” indicator, and a compact star rating badge—simple, orderly, trustworthy. No personal data. 50mm prime, f/2.8, shallow depth of field; crisp glassy screen surface; soft bokeh background of stationary and a neutral mug. Clean composition, sharp focus, no clutter. Correct anatomy if fingertips appear; natural skin texture; no floating device. Only minimal English UI text (“Postcode”, “Step 1/4”); no logos, no watermark, no brand names, no extra text, no promotional claims. Professional trust tone; screen focus aligns with hand and table depth. 	 An extreme close-up of a smartphone resting on a clean wooden desk under warm office light. The screen is angled naturally with gentle reflections and shows a simple interface: a postcode field, a small “Step 1/4” indicator, and a compact star rating badge; the only visible text reads “Postcode” and “Step 1/4.” A relaxed hand lightly steadies the edge, with natural skin texture and lifelike fingertips. The device sits firmly on the table, where the wood grain and tiny dust specks catch the glow and create soft, grounded shadows. Stationery and a plain mug appear in a quiet, softly blurred background, suggesting a calm workspace. Highlights roll across the glass, colors stay warm and neutral, and the scene feels simple, orderly, and reassuring. 
Internal10044_Prompt2	 Macro scene of a residential propane tank gauge moving into the green zone after refill; a gloved technician’s hand steadies the housing while safely disconnecting the hose. Unbranded delivery truck softly blurred in the driveway, frost on grass; outcome-first: full gauge is the hero. Dynamic side angle, 50mm prime, f/2.8 shallow depth, crisp winter light. Safety: technician wears reflective vest, protective gloves; grounded hose, closed shutoff valve, drip tray under connection, proper clearance from ignition sources. Realistic textures on painted steel and rubber fittings, subtle breath in cold air. Correct anatomy, natural hands, sharp focus, clean composition, uncluttered background. No text, no logos, no watermark, no UI elements. 	 A close-up of a residential propane tank on a cold winter morning shows the gauge needle settled firmly in the green zone after a refill. A technician steadies the painted steel gauge housing with a gloved hand while carefully disconnecting the hose. The shutoff valve is closed, the hose is grounded, and a low drip tray sits beneath the fitting—quiet details of a safe, tidy procedure. A reflective vest catches the cool daylight at the edge of the frame, and there is clear open space around the tank. In the driveway beyond, an unmarked delivery truck is softly blurred. Frost crystals brighten the grass, and a faint cloud of breath hangs in the air. Seen from a natural side angle, the glass face of the gauge and the rubber fittings show fine textures, with gentle shadows shaping the curved tank and a simple, uncluttered yard in the background. 
Internal10044_Prompt3	 Clean basement utility room in Hudson Valley: a newly installed propane water heater with gleaming copper lines, labeled valves, and tidy venting. Outcome-first: steam rising from a nearby sink as a homeowner (mid-30s, sweater, neutral expression) tests hot water, looking at the faucet, not the camera. Before/after implied by bright task lighting and orderly pipes versus faint shadow of old unit spot. Editorial angle, 35mm prime, f/2.8 shallow depth, realistic indoor lighting. Safety: clearances maintained, drip pan under heater, seismic straps, shutoff valve accessible, proper exhaust routing. Correct anatomy, natural hands, sharp focus, clean composition, uncluttered background. No text, no logos, no watermark, no UI elements. 	 A clean basement utility room in the Hudson Valley with a newly installed propane water heater. The white tank rests in a drip pan with clear space around it, copper lines run in neat runs with labeled valves, and the vent pipe is routed tidily to the exterior. Seismic straps secure the tank to the wall, and the gas shutoff valve sits within easy reach. Bright task lighting spreads across the unit and pipes, catching warm highlights on the copper and soft reflections on the enamel while gentle shadows fall along the wall and floor. The background stays simple and uncluttered—pale walls and a swept concrete floor—with a faint outline on the wall hinting at where the old unit once stood.  Beside a utility sink, a homeowner in their mid‑30s wears a sweater and turns the faucet with a natural grip. Steam rises from the stream of water, and they watch the flow rather than the camera, their expression calm and neutral. Skin tones, fabrics, and metal surfaces appear true to life, with visible textures and a natural falloff of light that gives the scene depth. The heater sits as part of the everyday space, shown in use rather than staged. 
Internal10044_Prompt1	 Dusk in a Hudson Valley suburban backyard: a propane firepit glows steady blue-orange within a stone ring, cozy blankets on chairs, subtle breath in cool air. A neatly installed propane tank sits discreetly behind shrubs with tidy piping and proper clearances. Outcome-first composition: the inviting flame is the focal point; family (diverse, casual fall clothing) relaxes, facing the fire, not the camera. Dynamic side view, natural perspective 50mm prime, f/2.8 shallow depth of field, warm color grading, realistic lighting. Safety cues: protective glass wind guard, no wood, no smoke, safe distance from structures. Correct anatomy, natural hands and limbs, sharp focus, clean composition, uncluttered background. No text, no logos, no watermark, no UI elements. 	 At dusk in a quiet Hudson Valley backyard, a propane firepit glows with a steady blue‑orange flame inside a low stone ring. The glass wind guard catches tiny reflections as the firelight flickers across cozy blankets draped over chairs and the textured stone. In the cool air, faint breath hangs as a soft mist, and the warm glow plays gently on relaxed faces. A diverse family in casual fall layers sits close together, turned toward the flame rather than the camera, chatting and cradling mugs with easy, natural gestures.  The yard is tidy and open, with the firepit set well away from the house and fences. Behind trimmed shrubs, a neatly installed propane tank is visible, with clean piping and clear space around it. The flame burns cleanly without smoke, and the burners are shielded by the glass guard. Evening blues gather in the sky while the fire adds amber highlights, casting soft shadows across the patio and bringing out the grain of the blankets and the rough edges of the stone. The scene is viewed from the side at seating height, so the inviting flame draws the eye as the family relaxes together in the calm, cool light. 
Internal10044_Prompt4	 Morning in a small Hudson Valley café kitchen: a propane range shows even blue flames under a skillet; owner (40s, apron, focused) stirs, eyes on the pan. Through the back door window, a neatly placed outdoor tank sits with snow-dusted ground, safe clearance and protective cover. Outcome-first: consistent flame is the focal point, conveying reliability and efficiency during breakfast rush. Dynamic side view, 35mm prime, f/2.8 shallow depth, warm indoor light against cool exterior. Safety: ventilation hood on, shutoff valve reachable, no combustibles near burners. Correct anatomy, natural hands, sharp focus, clean composition, uncluttered background. No text, no logos, no watermark, no UI elements. 	 Morning in a small Hudson Valley café kitchen, seen from a side angle. A stainless steel propane range burns with steady, even blue flames beneath a black skillet while the owner, in their forties and wearing a work apron, stirs with quiet focus, eyes on the pan. Warm indoor light pools across the tiled backsplash and the cook’s hands, catching the sheen of metal and the soft rise of steam. Through the back door window, an outdoor propane tank rests neatly on a cleared pad with a protective cover, set back from the wall on snow-dusted ground under cool winter light. The ventilation hood is running above, a metal shutoff valve sits within easy reach, and the counter around the burners is clear and dry. The kitchen holds crisp detail while the wintry yard falls gently out of focus, drawing attention to the calm, consistent flame that suggests reliable heat during the breakfast rush. Shadows settle under the range knobs and along the apron folds, and subtle reflections on the stovetop give a sense of order and efficiency. 
Internal10044_Prompt5	 Light snow in a rural Hudson Valley yard: a clear, shoveled path leads to a backyard propane tank with the access cap visible, flag marker upright. An unbranded delivery truck approaches down a plowed driveway; homeowner silhouette at a window, relaxed. Outcome-first: the prepared access path and tank readiness are the focal points, signaling effortless winter delivery. Wide yet intimate framing, 50mm prime, f/2.8 shallow depth, crisp winter light, subtle bokeh of trees and stone wall. Safety: cleared area around tank, no open flames, proper tank stand, regulator covered. Correct anatomy (for visible figures), sharp focus, clean composition, uncluttered background. No text, no logos, no watermark, no UI elements. 	 A light snowfall settles over a quiet Hudson Valley backyard. A neatly shoveled path winds through the snow to a propane tank on a sturdy stand, with its access cap visible and a small flag marker standing upright in the frost. The area around the tank is cleared and tidy, and the regulator is covered, creating a feeling of careful preparation. Along the plowed driveway, a delivery truck approaches, its tires tracing clean lines through the damp snow. Inside, a homeowner appears as a soft silhouette at the window, relaxed and watching. Cool winter daylight washes the yard in clear, even light; the snow’s edges look crisp and the low sun casts gentle shadows around the trees and stone wall. The background softens into a quiet blur of bare branches and weathered stone, while the path and tank remain crisply detailed, guiding the eye and suggesting an easy, effortless winter delivery. 
Internal10045_Prompt5	 Modern local office, afternoon light. A professional adviser slides a neatly prepared folder toward a client; the client, mid-50s, relaxed and relieved, looks at the documents—not at the camera. A phone on the table, angled naturally with realistic reflections, shows a simple UI: postcode input field, “Step 1/4” indicator, and a small star rating badge, subtly blurred. Outcome-focused: orderly desk, warm handshake moment implied through posture and eye line. 35mm prime, f/2.8, shallow DOF, clean composition, accurate perspective. Correct anatomy, natural hands, realistic skin texture, no over-smoothing. Only minimal English UI text; no logos, no watermark, no brand names, no extra text. Professional, reliable, simple tone. 	 A bright, modern local office lit by soft afternoon sun. A professional adviser leans forward and gently slides a neatly prepared folder across an orderly desk toward a client in their mid-50s. The client sits comfortably, a quiet relief in their expression, eyes on the documents rather than the camera. Warm light pools on the tabletop, catching the texture of paper and the grain of wood, with natural shadows shaping the scene. A smartphone rests near their hands at a casual angle, its glass showing realistic reflections; the screen displays a simple interface with a postcode field, a small “Step 1/4” indicator, and a subtle star rating badge that is slightly out of focus. Their hands and posture suggest a warm handshake about to happen, conveying trust and forward movement. Skin appears lifelike with gentle detail—fine lines and natural tones—and the adviser’s gestures feel calm and unhurried. The room holds true perspective, with straight lines and clear depth as shelves and background fall softly out of focus, keeping attention on the interaction and the phone as part of the moment. 
Internal10043_Prompt3	 Multi-layer mosaic of content tiles—abstracted movies, music, books, games—floating in ordered stacks with soft category chips rendered as translucent, rounded capsules. Central layer in sharp focus, others gently blurred to suggest breadth and curation. High-tech efficiency tone; precise alignment and spacing signal reliability. No devices, no humans, no faces, no text, no brand logos, no watermark. Balanced lighting, clean composition, uncluttered background. 50mm prime look, f/2.8 shallow depth, smooth bokeh, natural perspective. Materials: frosted acrylic, iridescent edges, faint reflections. Value-first: organized discovery without clutter. Poster-style, restrained realism, symmetric visual hierarchy. 	 A quiet studio scene shows a multi-layer mosaic of content tiles drifting in precise, evenly spaced stacks. The central layer is crisp and detailed, while layers in front and behind soften into a gentle blur, suggesting breadth and careful curation. Each tile looks like frosted acrylic with smooth, rounded edges; a faint iridescence glows along the rims where the light skims across. Small translucent capsules hover beside select tiles as subtle category markers. The tiles hint at movies, music, books, and games through simple shapes and muted color fields rather than explicit imagery. Diffused, even light creates soft edge highlights and natural shadows that anchor the pieces over a quiet, neutral gradient. The arrangement is symmetrically centered with consistent spacing, giving a calm, reliable rhythm. Subtle reflections gather on the surface below, and the composition reads like a restrained poster that conveys organized discovery without visual clutter. 
Internal10043_Prompt1	 Poster-style composition visualizing an app and media marketplace: a clean, frosted-glass search bar centered, glowing softly, with rounded-corner app tiles emerging in neat rows from behind it. Semi-transparent layers, subtle refractions, light ribbons suggesting fast results. High-tech efficiency, symmetric layout, organized hierarchy, minimal color accents. No devices, no humans, no faces, no brand logos, no text, no watermark, no readable labels. Correct perspective, sharp focus on the search bar, shallow depth of field (50mm prime, f/2.8), smooth bokeh, uncluttered background, clean composition. Materials feel premium: matte acrylic, polished edges, gentle specular highlights. Value-first focus on discovery and simplicity, reliability implied through orderly grid alignment. Editorial, modern, restrained realism. 	 A calm, modern visualization of an app and media marketplace: a centered frosted‑glass search bar glows softly against a quiet, pale backdrop. Behind it, rounded app tiles emerge in neat rows, partially veiled by the bar, their semi‑transparent layers overlapping with subtle refractions where light slips through. Polished edges catch small, bright highlights while matte acrylic surfaces diffuse the glow, revealing fine textures along the contours. Thin ribbons of light sweep across the scene, hinting at quick, efficient results. The layout is symmetric and orderly, guiding the eye from the crisp detail of the search bar to a gentle, natural blur in the grid behind. Colors stay muted with restrained accents, and soft shadows add realistic depth, conveying reliability and a clear focus on discovery and simplicity. 
Internal10043_Prompt5	 Dynamic side view: a glowing “install” cube (abstracted button) at center, with app tiles smoothly converging toward it along gentle light streams. Motion implied via soft trails and micro blur on edges; the cube remains razor-sharp. No devices, no humans, no faces, no text, no logos, no watermark. Clean composition, uncluttered void background, correct perspective, high-resolution. Shallow depth of field (50mm prime, f/2.8) with elegant bokeh; layered Z-depth hierarchy. Materials: polished acrylic, frosted glass, subtle chromatic highlights. Value-first: fast, reliable, simple acquisition represented by converging tiles. Editorial poster aesthetic, restrained realism, balanced lighting and color accents. 	 A dynamic side view shows a luminous cube at the center of a quiet, open backdrop, its edges crisp and finely defined like a confident install button. Translucent app tiles glide toward it along gentle streams of light, their motion suggested by soft trails and a slight blur on the edges, while the cube remains sharply in focus. The space feels calm and uncluttered, with a subtle gradient that fades into a dark void.  Depth is clear: nearby tiles carry a soft blur with rounded bokeh highlights, and distant tiles separate in layered planes. Polished acrylic surfaces catch faint reflections, while frosted glass diffuses the glow; delicate chromatic accents skim across edges and light paths. Even, restrained lighting forms a focused halo around the cube, with small color touches guiding the eye along the converging motion.  Soft shadows gather beneath the cube and along the tiles, giving the scene weight and realism. The quiet, editorial look conveys speed, reliability, and simplicity through the orderly flow toward the center. 
Internal10043_Prompt4	 Top-down editorial layout of frameless, rounded-corner panels arranged like neat shelves: apps, media covers, and utility tiles aligned in a grid with perfect spacing. Center row sharp, foreground and background softly blurred, conveying calm order and simplicity. No devices, no humans, no text, no logos, no watermark. Correct perspective (35mm–50mm feel), shallow depth of field (f/2.8), clean composition, uncluttered studio-like background. Subtle shadows, premium digital materials: matte polymer, translucent glass layers. Value-first: clarity of browsing and well-organized library. Symmetric, minimal, high-tech efficiency aesthetic; reliability implied through precise alignment and consistent color rhythm. 	 A quiet top-down view shows a grid of frameless panels with rounded corners, arranged like tidy shelves. Each tile hints at apps, media artwork, and utilities, spaced with precise regularity and aligned edges that feel true and evenly proportioned. The center row appears crisp and detailed while the nearer and farther rows soften into a gentle blur, giving a calm sense of order. Soft, diffused studio light glides across matte polymer surfaces and delicate translucent glass layers, catching subtle highlights and casting fine, even shadows. Colors remain consistent and restrained, forming a steady rhythm across the grid. The symmetrical, minimal layout sits in open negative space, conveying an efficient browsing experience and the clarity of a well-organized library. 
Internal10045_Prompt4	 Digital poster composition: no humans, no hands, no devices. In a limitless, softly lit space, a frosted-glass card floats featuring a clean postcode input field and a subtle “Step 1/4” progress bar rendered as four translucent dots. A luminous five-star badge (4.7 implied through fill, no numbers) hovers nearby. Elements made of glowing acrylic and frosted glass, arranged with strong Z-depth and symmetric hierarchy; light streams converge into a gentle location pin motif, conveying clarity and trust. Sharp focus on central card; soft bokeh on surrounding layers. Clean, editorial layout, restrained realism. Only minimal English UI text (“Postcode”, “Step 1/4”); no logos, no watermark, no brand names, no extra text, no promotional claims, no political content. 	 In a wide, softly lit open space, a frosted-glass card floats at the center, its surface catching diffused highlights and fine texture. The card shows a simple postcode input field labeled “Postcode” and a small “Step 1/4” indicator formed by four translucent dots, with the first dot gently illuminated. Nearby, a five-star emblem glows through acrylic edges, with a subtle partial fill on the last star suggesting a high rating without numerals. Light streams gather in the background and taper into a faint location-pin shape, while layered translucent forms drift around the card and fade into soft bokeh. The arrangement feels symmetrically balanced with strong depth; the central card remains crisp, and delicate shadows and reflections give the floating elements a tangible presence. Colors stay calm and clean, with cool whites and gentle warmth along the glowing edges. 
